18,5,2,3,2,4,3,3,1.4705e+15,0
44,9,6,1,1,2,2,1,1.4705e+15,0
33,7,2,1,1,4,0,0,1.4705e+15,0
24,9,8,2,3,7,5,5,1.4705e+15,0
4,2,2,0,0,2,1,2,1.4705e+15,0
19,4,4,1,2,0,1,1,1.4705e+15,0
18,11,2,1,2,1,0,3,1.4705e+15,0
25,11,1,0,3,2,1,2,1.4705e+15,0
14,4,0,2,1,3,1,2,1.4705e+15,0
3,5,0,2,2,1,3,6,1.4705e+15,0
16,6,3,4,1,0,0,1,1.4705e+15,0
4,2,3,1,1,2,0,3,1.4705e+15,0
3,7,2,0,0,2,1,2,1.4705e+15,0
27,3,2,3,2,3,4,0,1.4705e+15,0
1,1,0,1,1,1,1,5,1.4705e+15,0
10,5,5,1,2,1,2,2,1.4705e+15,0
1,1,1,0,2,6,0,6,1.4705e+15,0
7,1,3,3,1,15,4,2,1.4705e+15,0
10,0,2,1,1,2,3,0,1.4705e+15,0
2,1,2,2,1,2,0,7,1.4705e+15,0
1,2,1,0,3,5,0,3,1.4705e+15,0
26,4,2,1,2,3,1,6,1.4705e+15,0
3,6,4,0,3,12,6,2,1.4705e+15,0
1,3,1,3,0,7,2,4,1.4705e+15,0
20,3,4,1,1,0,3,4,1.4705e+15,0
29,8,4,2,1,4,2,9,1.4705e+15,0
11,2,0,1,2,2,1,3,1.4705e+15,0
12,9,3,3,0,2,0,1,1.4705e+15,0
8,4,2,2,1,4,4,4,1.4705e+15,0
16,0,1,1,0,5,0,4,1.4705e+15,0
21,1,3,3,2,2,8,9,1.4705e+15,0
0,2,1,3,0,5,2,3,1.4705e+15,0
12,7,3,4,0,1,0,0,1.4705e+15,0
1,1,2,3,1,3,1,3,1.4705e+15,0
20,6,4,2,1,0,2,0,1.4705e+15,0
9,3,0,0,1,2,1,5,1.4705e+15,0
10,1,2,1,1,4,3,3,1.4705e+15,0
7,7,3,1,0,2,1,3,1.4705e+15,0
6,6,2,3,4,2,1,1,1.4705e+15,0
21,2,0,2,2,11,1,1,1.4705e+15,0
15,10,2,3,0,24,8,2,1.4705e+15,0
1,2,2,1,0,3,1,0,1.4705e+15,0
12,1,1,0,0,0,1,2,1.4705e+15,0
13,2,2,1,1,0,2,3,1.4705e+15,0
20,3,3,2,1,5,0,2,1.4705e+15,0
13,3,1,1,2,0,3,3,1.4705e+15,0
7,1,1,5,1,0,2,5,1.4705e+15,0
7,2,2,3,1,4,3,1,1.4705e+15,0
1,4,0,0,2,3,2,2,1.4705e+15,0
11,1,0,1,1,2,1,1,1.4705e+15,0
11,4,1,2,1,2,2,0,1.4705e+15,0
23,5,4,3,2,0,1,5,1.4705e+15,0
25,6,3,1,1,1,1,4,1.4705e+15,0
22,2,1,1,2,4,4,3,1.4705e+15,0
11,6,2,3,0,3,1,7,1.4705e+15,0
26,6,3,2,2,3,1,1,1.4705e+15,0
2,8,4,2,1,3,3,7,1.4705e+15,0
13,7,3,0,1,5,1,4,1.4705e+15,0
3,7,2,2,3,6,1,1,1.4705e+15,0
2,1,3,3,4,4,0,0,1.4705e+15,0
23,7,2,1,0,2,1,4,1.4705e+15,0
11,2,1,2,2,1,0,3,1.4705e+15,0
17,7,3,3,3,3,5,7,1.4705e+15,0
7,7,1,1,2,11,3,2,1.4705e+15,0
43,9,2,1,5,22,9,7,1.4705e+15,0
11,3,1,2,2,8,2,0,1.4705e+15,0
15,8,1,0,0,3,0,0,1.4705e+15,0
7,2,1,3,3,3,4,6,1.4705e+15,0
13,1,1,1,0,5,4,5,1.4705e+15,0
